Name,Description,IsOwnBank,RoutingNo,SwiftCode,C_Bank>C_Location>City,C_Bank>C_Location>Postal,C_Bank>C_Location>C_Country_ID[Name]
Raiffeisenbank Zorneding,Raiffeisenbank Zorneding,N,70169619,GENODEF1ZOR,Zorneding,85600,Germany - Deutschland
Raiffeisenbank Aiglsbach,Raiffeisenbank Aiglsbach,N,70169653,GENODEF1AIG,Aiglsbach,84089,Germany - Deutschland
Raiffeisenbank Hallertau,Raiffeisenbank Hallertau,N,70169693,GENODEF1RHT,Rudelzhausen,84104,Germany - Deutschland
Münchner Bank,Münchner Bank,N,70190000,GENODEF1M01,München,81632,Germany - Deutschland
GLS Gemeinschaftsbk Bochum,GLS Gemeinschaftsbank,N,70190200,GENODEF1M09,München,80047,Germany - Deutschland
LfA Förderbank München,LfA Förderbank Bayern,N,70220000,LFFBDEMMXXX,München,80535,Germany - Deutschland
BHF-BANK München,BHF-BANK,N,70220200,BHFBDEFF700,München,80333,Germany - Deutschland
BMW Bank München,BMW Bank,N,70220300,BMWBDEMUXXX,München,80788,Germany - Deutschland
Hanseatic Bank München,Hanseatic Bank,N,70220400,HSTBDEH1MUE,München,80333,Germany - Deutschland
VVB München,Vereinsbank Victoria Bauspar,N,70220800,VVAGDEM1XXX,München,80305,Germany - Deutschland
Wüstenrot Bausparkasse,Wüstenrot Bausparkasse,N,70220900,DRESDEFFBFC,München,80615,Germany - Deutschland
Isbank München,Isbank Fil München,N,70230600,ISBKDEFXMUN,München,80336,Germany - Deutschland
Kr Spk München Starnbg Ebbg,Kreissparkasse München Starnberg Ebersberg,N,70250150,BYLADEM1KMS,München,80279,Germany - Deutschland
BBk München eh Garmisch-Par,Bundesbank eh Garmisch-Partenkirchen,N,70300000,MARKDEF1703,München,80711,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,70320090,HYVEDEMM654,Garmisch-Partenkirchen,82452,Germany - Deutschland
UniCredit exHypo Ndl635 Gar,UniCredit Bank - HypoVereinsbank Ndl 635 Gar,N,70320305,HYVEDEM1091,Aschheim,85609,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,70321194,HYVEDEMM466,Weilheim i. OB,82351,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,70322192,HYVEDEMM664,Murnau a. Staffelsee,82411,Germany - Deutschland
Kr Spk Garmisch-Partenkirch,Kreissparkasse Garmisch-Partenkirchen,N,70350000,BYLADEM1GAP,Garmisch-Partenkirchen,82467,Germany - Deutschland
